epoch,train_kl,val_kl,val_logit_mse,val_prob_mse,val_agree,val_acc,target_sparsity,actual_sparsity
1,1.2570240519035345,0.16563048317462584,11.32489964931826,0.011309223264290751,0.9714200949367089,0.967,0.05,0.049999078782518976
2,0.13743240551463068,0.09102722893975958,10.597713748111001,0.005711943547011506,0.9848694620253164,0.9787,0.1,0.1449996315130076
3,0.08175039777496476,0.07821323934801017,8.88341234303728,0.004980707486584499,0.9855617088607594,0.9813,0.15000000000000002,0.2732515292210185
4,0.06301442745413735,0.053644110649069654,8.301130101650577,0.003274902143615852,0.9899129746835443,0.9825,0.2,0.4186012233768148
5,0.05358206288916851,0.04822674968951865,7.277677867985979,0.0029795342169206917,0.9884295886075949,0.9828,0.25,0.5639509175326111
6,0.04529866802571679,0.050062088248661804,6.798276641700841,0.002994740021538838,0.9899129746835443,0.986,0.3,0.6947637998378657
7,0.04182087702315245,0.044492981490926654,5.756924098051047,0.0027349646710879113,0.9890229430379747,0.9812,0.35,0.8015973911120937
8,0.037834616131715175,0.04654994482009471,5.301492008981826,0.002905223046317461,0.9881329113924051,0.9845,0.39999999999999997,0.8809602771022182
9,0.04572790531493199,0.040766015955353084,3.6317211223554007,0.0025528237773282335,0.9895174050632911,0.9844,0.44999999999999996,0.9345290736237011
10,0.07627488196150327,0.05304201913973953,2.498410731931276,0.003180696032175063,0.9890229430379747,0.9829,0.49999999999999994,0.9672645368118505
